date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:30	584/584	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Mar%202017%2010:17:49%20GMT	http://coderthemes.com/codefox_1.1/light_1/assets/images/icons/light_at_the_end_of_tunnel.svg	/home/usman/websites/CodeFox/coderthemes.com/codefox_1.1/light_1/assets/images/icons/light_at_the_end_of_tunnel.svg	(from http://coderthemes.com/codefox_1.1/light_1/icons-colored.html)
13:14:36	671/671	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Mar%202017%2010:17:49%20GMT	http://coderthemes.com/codefox_1.1/light_1/assets/images/icons/entering_heaven_alive.svg	/home/usman/websites/CodeFox/coderthemes.com/codefox_1.1/light_1/assets/images/icons/entering_heaven_alive.svg	(from http://coderthemes.com/codefox_1.1/light_1/icons-colored.html)
13:14:37	642/642	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Mar%202017%2010:17:49%20GMT	http://coderthemes.com/codefox_1.1/light_1/assets/images/icons/biomass.svg	/home/usman/websites/CodeFox/coderthemes.com/codefox_1.1/light_1/assets/images/icons/biomass.svg	(from http://coderthemes.com/codefox_1.1/light_1/icons-colored.html)
13:14:38	775/775	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Mar%202017%2010:17:49%20GMT	http://coderthemes.com/codefox_1.1/light_1/assets/images/icons/display.svg	/home/usman/websites/CodeFox/coderthemes.com/codefox_1.1/light_1/assets/images/icons/display.svg	(from http://coderthemes.com/codefox_1.1/light_1/icons-colored.html)
13:14:44	1277/1277	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Mar%202017%2010:17:49%20GMT	http://coderthemes.com/codefox_1.1/light_1/assets/images/icons/do_not_inhale.svg	/home/usman/websites/CodeFox/coderthemes.com/codefox_1.1/light_1/assets/images/icons/do_not_inhale.svg	(from http://coderthemes.com/codefox_1.1/light_1/icons-colored.html)
13:14:51	613/613	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Mar%202017%2010:17:49%20GMT	http://coderthemes.com/codefox_1.1/light_1/assets/images/icons/factory.svg	/home/usman/websites/CodeFox/coderthemes.com/codefox_1.1/light_1/assets/images/icons/factory.svg	(from http://coderthemes.com/codefox_1.1/light_1/icons-colored.html)
13:14:52	617/617	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Mar%202017%2010:17:49%20GMT	http://coderthemes.com/codefox_1.1/light_1/assets/images/icons/factory_breakdown.svg	/home/usman/websites/CodeFox/coderthemes.com/codefox_1.1/light_1/assets/images/icons/factory_breakdown.svg	(from http://coderthemes.com/codefox_1.1/light_1/icons-colored.html)
13:14:58	421/421	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Mar%202017%2010:17:49%20GMT	http://coderthemes.com/codefox_1.1/light_1/assets/images/icons/crystal_oscillator.svg	/home/usman/websites/CodeFox/coderthemes.com/codefox_1.1/light_1/assets/images/icons/crystal_oscillator.svg	(from http://coderthemes.com/codefox_1.1/light_1/icons-colored.html)
13:15:11	228/228	---M--	200	added ('OK')	image/svg+xml	etag:%2258d643cd-e4%22	http://coderthemes.com/codefox_1.1/light_1/assets/images/icons/electricity.svg	/home/usman/websites/CodeFox/coderthemes.com/codefox_1.1/light_1/assets/images/icons/electricity.svg	(from http://coderthemes.com/codefox_1.1/light_1/icons-colored.html)
13:15:11	528/528	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Mar%202017%2010:17:49%20GMT	http://coderthemes.com/codefox_1.1/light_1/assets/images/icons/capacitor.svg	/home/usman/websites/CodeFox/coderthemes.com/codefox_1.1/light_1/assets/images/icons/capacitor.svg	(from http://coderthemes.com/codefox_1.1/light_1/icons-colored.html)
13:15:26	325/325	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Mar%202017%2010:17:49%20GMT	http://coderthemes.com/codefox_1.1/light_1/assets/images/icons/electro_devices.svg	/home/usman/websites/CodeFox/coderthemes.com/codefox_1.1/light_1/assets/images/icons/electro_devices.svg	(from http://coderthemes.com/codefox_1.1/light_1/icons-colored.html)
13:15:45	530/530	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Mar%202017%2010:17:49%20GMT	http://coderthemes.com/codefox_1.1/light_1/assets/images/icons/electrical_sensor.svg	/home/usman/websites/CodeFox/coderthemes.com/codefox_1.1/light_1/assets/images/icons/electrical_sensor.svg	(from http://coderthemes.com/codefox_1.1/light_1/icons-colored.html)
